                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1972,                0.68252,                 1.1786,                0.86302,                0.73899,                0.82092,                0.52337,                 1.1549,                0.61163,                 1.1599,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1948,                0.68068,                 1.1744,                0.86365,                0.73903,                0.82083,                0.52338,                 1.1552,                  0.611,                 1.1584,               0.008317,               0.008317,               0.008317
                     37,                 1.1889,                0.67731,                 1.1736,                0.86537,                0.73966,                0.82088,                0.52511,                 1.1507,                0.60894,                 1.1568,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.1885,                0.67491,                 1.1714,                0.86495,                0.74054,                0.82271,                0.52569,                 1.1522,                0.60591,                 1.1561,               0.008218,               0.008218,               0.008218
                     39,                 1.1871,                0.67268,                 1.1684,                0.86283,                0.74403,                0.82439,                0.52805,                  1.149,                0.60409,                 1.1531,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1836,                0.67176,                 1.1687,                0.86395,                0.74313,                0.82403,                0.52751,                 1.1481,                0.60211,                 1.1531,               0.008119,               0.008119,               0.008119
                     41,                 1.1802,                0.66659,                 1.1648,                0.86507,                0.74442,                0.82486,                0.52873,                 1.1448,                0.60072,                 1.1522,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1792,                0.66708,                 1.1637,                0.86526,                0.74426,                0.82584,                0.53051,                 1.1416,                 0.5987,                 1.1503,                0.00802,                0.00802,                0.00802
                     43,                 1.1764,                0.66372,                 1.1627,                0.86846,                0.74664,                0.82785,                0.53165,                 1.1418,                 0.5958,                 1.1493,              0.0079705,              0.0079705,              0.0079705
                     44,                  1.176,                0.66528,                 1.1616,                0.86727,                0.74705,                 0.8269,                0.53261,                  1.139,                0.59482,                 1.1469,               0.007921,               0.007921,               0.007921
                     45,                 1.1719,                 0.6615,                  1.162,                0.86638,                0.74868,                0.82803,                0.53272,                 1.1379,                0.59334,                 1.1469,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.1696,                0.65868,                 1.1585,                0.86747,                 0.7475,                0.82899,                0.53368,                  1.137,                0.59209,                 1.1454,               0.007822,               0.007822,               0.007822
                     47,                 1.1695,                0.65769,                 1.1564,                0.86855,                 0.7488,                0.82931,                0.53426,                 1.1356,                0.59033,                 1.1444,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1632,                0.65313,                 1.1549,                0.86848,                0.75003,                0.83016,                0.53487,                  1.134,                0.58867,                 1.1445,               0.007723,               0.007723,               0.007723
                     49,                 1.1639,                0.65347,                 1.1564,                0.86742,                0.75096,                0.83063,                 0.5355,                 1.1334,                0.58699,                 1.1441,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1614,                0.65124,                  1.154,                0.86889,                0.75144,                 0.8308,                0.53574,                 1.1315,                0.58634,                 1.1432,               0.007624,               0.007624,               0.007624
                     51,                 1.1609,                0.64992,                 1.1517,                0.87129,                0.75106,                0.83105,                0.53687,                 1.1305,                0.58488,                 1.1422,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.1562,                0.64763,                 1.1523,                 0.8697,                0.75189,                0.83125,                0.53757,                 1.1293,                0.58382,                 1.1415,               0.007525,               0.007525,               0.007525
                     53,                 1.1542,                 0.6462,                 1.1519,                0.86928,                0.75246,                  0.832,                0.53818,                 1.1281,                0.58295,                 1.1406,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.1548,                0.64536,                 1.1494,                 0.8688,                0.75282,                0.83207,                0.53848,                  1.127,                0.58211,                 1.1401,               0.007426,               0.007426,               0.007426
                     55,                 1.1536,                0.64446,                 1.1497,                0.86858,                0.75298,                0.83226,                0.53854,                 1.1263,                0.58089,                 1.1393,              0.0073765,              0.0073765,              0.0073765
                     56,                  1.154,                0.64412,                 1.1453,                0.87049,                0.75196,                0.83284,                0.53914,                 1.1259,                0.57977,                 1.1387,               0.007327,               0.007327,               0.007327
                     57,                 1.1505,                0.64102,                 1.1448,                0.86943,                0.75264,                0.83305,                0.53999,                 1.1241,                0.57839,                 1.1377,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.1464,                0.63831,                  1.144,                0.86886,                0.75241,                0.83369,                0.54055,                 1.1235,                 0.5782,                 1.1368,               0.007228,               0.007228,               0.007228
                     59,                 1.1465,                0.64065,                 1.1436,                0.86849,                0.75385,                0.83401,                0.54078,                  1.123,                0.57752,                 1.1367,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.1446,                0.63759,                 1.1425,                0.86673,                0.75598,                0.83438,                0.54113,                 1.1225,                0.57679,                 1.1361,               0.007129,               0.007129,               0.007129
                     61,                 1.1443,                0.63722,                 1.1419,                0.86575,                0.75732,                0.83447,                0.54149,                 1.1222,                0.57583,                  1.136,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.1432,                0.63499,                 1.1404,                0.86794,                0.75756,                0.83565,                0.54202,                 1.1212,                0.57489,                 1.1352,                0.00703,                0.00703,                0.00703
                     63,                 1.1401,                0.63454,                   1.14,                0.86644,                0.75905,                0.83548,                0.54237,                 1.1207,                0.57391,                 1.1351,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.1385,                0.63178,                 1.1388,                0.86756,                0.75856,                 0.8361,                0.54278,                 1.1203,                0.57337,                 1.1351,               0.006931,               0.006931,               0.006931
                     65,                 1.1397,                0.63246,                 1.1397,                0.86887,                0.75779,                0.83669,                0.54321,                 1.1193,                0.57271,                 1.1348,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.1356,                0.62963,                 1.1368,                0.86857,                0.75857,                0.83674,                0.54321,                 1.1191,                0.57213,                 1.1346,               0.006832,               0.006832,               0.006832
                     67,                 1.1349,                0.62789,                 1.1355,                 0.8682,                0.75895,                0.83618,                0.54329,                 1.1191,                0.57153,                 1.1342,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.1333,                0.62723,                 1.1341,                 0.8675,                0.75926,                0.83663,                0.54392,                 1.1185,                0.57076,                  1.134,               0.006733,               0.006733,               0.006733
                     69,                  1.133,                0.62633,                 1.1325,                0.86764,                0.76014,                0.83688,                0.54402,                 1.1179,                0.57013,                 1.1336,              0.0066835,              0.0066835,              0.0066835
                     70,                   1.13,                0.62348,                 1.1311,                0.86704,                0.76042,                0.83692,                 0.5446,                 1.1173,                0.56965,                 1.1332,               0.006634,               0.006634,               0.006634
                     71,                 1.1297,                0.62348,                 1.1308,                0.86744,                 0.7603,                0.83699,                0.54466,                  1.117,                0.56929,                  1.133,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.1294,                0.62252,                  1.133,                0.86917,                0.75986,                0.83738,                0.54488,                 1.1167,                  0.569,                 1.1328,               0.006535,               0.006535,               0.006535
                     73,                  1.128,                0.62226,                  1.131,                0.86899,                0.76073,                0.83743,                0.54512,                 1.1163,                0.56858,                 1.1326,              0.0064855,              0.0064855,              0.0064855
                     74,                  1.127,                0.62076,                 1.1308,                0.86936,                 0.7599,                0.83762,                0.54531,                 1.1158,                0.56798,                 1.1323,               0.006436,               0.006436,               0.006436
                     75,                 1.1247,                 0.6201,                 1.1306,                0.87104,                0.75914,                0.83768,                0.54538,                 1.1153,                 0.5675,                 1.1321,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.1213,                 0.6182,                 1.1297,                0.87034,                0.75979,                 0.8379,                0.54579,                  1.115,                0.56716,                 1.1321,               0.006337,               0.006337,               0.006337
                     77,                 1.1229,                0.61795,                 1.1276,                0.86959,                0.76047,                0.83812,                0.54606,                 1.1147,                0.56667,                 1.1319,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.1164,                0.61372,                 1.1242,                0.86985,                0.76058,                0.83835,                0.54646,                 1.1143,                0.56613,                 1.1317,               0.006238,               0.006238,               0.006238
                     79,                 1.1182,                0.61351,                 1.1237,                0.87013,                0.76053,                 0.8386,                0.54667,                 1.1142,                0.56565,                 1.1315,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.1177,                0.61404,                 1.1233,                0.86918,                0.76158,                0.83854,                0.54653,                  1.114,                 0.5652,                 1.1312,               0.006139,               0.006139,               0.006139
                     81,                 1.1171,                0.61328,                 1.1253,                0.87079,                0.76091,                0.83884,                0.54681,                 1.1136,                0.56476,                 1.1309,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.1137,                0.61024,                 1.1231,                0.87056,                0.76107,                0.83882,                0.54695,                 1.1132,                0.56436,                 1.1307,                0.00604,                0.00604,                0.00604
                     83,                 1.1158,                0.61326,                 1.1237,                 0.8694,                0.76238,                0.83905,                0.54712,                  1.113,                0.56395,                 1.1305,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.1155,                0.61041,                 1.1204,                0.87098,                0.76113,                0.83896,                0.54723,                 1.1128,                0.56363,                 1.1302,               0.005941,               0.005941,               0.005941
                     85,                 1.1097,                 0.6065,                 1.1212,                0.87094,                0.76168,                0.83918,                0.54743,                 1.1124,                0.56317,                 1.1299,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.1095,                0.60712,                 1.1199,                 0.8702,                0.76257,                0.83948,                0.54794,                 1.1119,                0.56283,                 1.1296,               0.005842,               0.005842,               0.005842
                     87,                 1.1102,                0.60722,                 1.1211,                 0.8713,                0.76216,                0.83984,                0.54813,                 1.1115,                0.56248,                 1.1295,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.1109,                0.60598,                 1.1185,                0.87199,                0.76193,                0.83991,                0.54829,                 1.1113,                0.56205,                 1.1293,               0.005743,               0.005743,               0.005743
                     89,                 1.1055,                0.60501,                 1.1183,                0.87167,                0.76234,                 0.8401,                0.54867,                 1.1108,                0.56163,                  1.129,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.1065,                0.60189,                 1.1151,                0.87176,                 0.7623,                0.84015,                0.54877,                 1.1105,                0.56143,                 1.1287,               0.005644,               0.005644,               0.005644
                     91,                    1.1,                0.60195,                  1.116,                 0.8729,                0.76151,                 0.8401,                0.54894,                 1.1103,                 0.5611,                 1.1285,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.1002,                0.60201,                 1.1171,                0.87201,                0.76229,                 0.8401,                0.54908,                 1.1101,                0.56085,                 1.1284,               0.005545,               0.005545,               0.005545
                     93,                 1.0979,                0.60016,                 1.1161,                0.87223,                  0.762,                0.84019,                0.54929,                 1.1098,                0.56049,                 1.1281,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.1016,                0.60099,                 1.1149,                0.87291,                0.76148,                0.84046,                0.54957,                 1.1093,                0.56029,                 1.1279,               0.005446,               0.005446,               0.005446
                     95,                 1.0988,                0.59778,                 1.1142,                0.87321,                0.76153,                0.84077,                0.54961,                 1.1091,                0.55992,                 1.1277,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.1002,                0.59965,                 1.1142,                0.87261,                0.76195,                0.84088,                0.54973,                  1.109,                0.55959,                 1.1276,               0.005347,               0.005347,               0.005347
                     97,                 1.0985,                0.59795,                 1.1133,                0.87327,                0.76181,                0.84093,                0.54991,                 1.1088,                0.55944,                 1.1275,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.0971,                0.59567,                 1.1117,                0.87345,                0.76182,                0.84111,                0.55003,                 1.1086,                0.55913,                 1.1274,               0.005248,               0.005248,               0.005248
                     99,                 1.0934,                0.59374,                  1.109,                0.87357,                0.76182,                0.84097,                0.55003,                 1.1086,                0.55897,                 1.1274,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.0923,                0.59285,                 1.1086,                0.87341,                0.76167,                  0.841,                0.55004,                 1.1086,                0.55861,                 1.1272,               0.005149,               0.005149,               0.005149
                    101,                 1.0895,                0.59192,                 1.1115,                0.87374,                0.76226,                 0.8413,                0.55018,                 1.1083,                0.55817,                 1.1271,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.0892,                0.59201,                 1.1094,                0.87327,                0.76308,                0.84149,                 0.5506,                 1.1081,                0.55782,                 1.1268,                0.00505,                0.00505,                0.00505
                    103,                 1.0874,                0.58897,                 1.1073,                 0.8732,                  0.763,                0.84146,                 0.5506,                  1.108,                0.55747,                 1.1267,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.0874,                0.58941,                 1.1071,                0.87293,                0.76317,                0.84129,                 0.5508,                 1.1079,                0.55694,                 1.1266,               0.004951,               0.004951,               0.004951
                    105,                 1.0883,                0.58893,                 1.1063,                0.87273,                0.76337,                0.84144,                0.55086,                 1.1078,                0.55664,                 1.1264,              0.0049015,              0.0049015,              0.0049015
                    106,                 1.0901,                0.58934,                 1.1067,                0.87264,                0.76367,                0.84145,                 0.5509,                 1.1075,                0.55626,                 1.1263,               0.004852,               0.004852,               0.004852
                    107,                 1.0858,                0.58628,                 1.1046,                0.87261,                0.76388,                0.84166,                  0.551,                 1.1075,                 0.5559,                 1.1262,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.0854,                  0.587,                 1.1061,                0.87259,                0.76407,                0.84183,                0.55106,                 1.1074,                0.55553,                 1.1261,               0.004753,               0.004753,               0.004753
                    109,                  1.085,                0.58699,                 1.1037,                0.87308,                0.76382,                0.84182,                0.55108,                 1.1071,                0.55513,                 1.1259,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.0792,                0.58329,                 1.1039,                0.87275,                0.76387,                0.84177,                0.55135,                 1.1069,                0.55479,                 1.1257,               0.004654,               0.004654,               0.004654
                    111,                 1.0803,                0.58444,                  1.103,                0.87303,                0.76372,                0.84181,                0.55132,                 1.1069,                 0.5544,                 1.1256,              0.0046045,              0.0046045,              0.0046045
                    112,                 1.0788,                0.58279,                 1.1038,                 0.8729,                0.76375,                 0.8418,                0.55133,                 1.1071,                0.55416,                 1.1256,               0.004555,               0.004555,               0.004555
                    113,                  1.078,                0.58288,                 1.1031,                0.87304,                0.76366,                0.84178,                0.55139,                 1.1068,                0.55383,                 1.1254,              0.0045055,              0.0045055,              0.0045055
                    114,                 1.0781,                0.58177,                 1.1012,                0.87292,                0.76372,                0.84188,                0.55175,                 1.1066,                0.55354,                 1.1254,               0.004456,               0.004456,               0.004456
                    115,                 1.0781,                0.58248,                 1.1007,                0.87304,                0.76385,                0.84182,                0.55172,                 1.1065,                0.55339,                 1.1253,              0.0044065,              0.0044065,              0.0044065
                    116,                 1.0742,                0.57945,                  1.099,                0.87404,                0.76348,                0.84192,                0.55167,                 1.1068,                0.55323,                 1.1253,               0.004357,               0.004357,               0.004357
                    117,                 1.0736,                0.57811,                 1.1004,                0.87372,                0.76341,                0.84197,                0.55164,                 1.1066,                0.55288,                 1.1252,              0.0043075,              0.0043075,              0.0043075
                    118,                 1.0727,                0.57883,                 1.0979,                0.87337,                0.76391,                0.84215,                0.55197,                 1.1063,                 0.5526,                  1.125,               0.004258,               0.004258,               0.004258
                    119,                  1.069,                 0.5762,                 1.0973,                 0.8729,                0.76437,                0.84228,                  0.552,                 1.1062,                0.55228,                 1.1249,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.0707,                0.57664,                 1.0955,                0.87328,                0.76411,                0.84229,                 0.5521,                 1.1063,                0.55187,                 1.1247,               0.004159,               0.004159,               0.004159
                    121,                 1.0663,                0.57434,                 1.0962,                0.87334,                0.76409,                0.84249,                0.55228,                  1.106,                0.55132,                 1.1245,              0.0041095,              0.0041095,              0.0041095
                    122,                 1.0684,                0.57565,                 1.0968,                0.87366,                0.76407,                0.84265,                0.55252,                 1.1058,                0.55099,                 1.1244,                0.00406,                0.00406,                0.00406
                    123,                 1.0672,                0.57504,                 1.0946,                0.87349,                0.76412,                0.84278,                0.55274,                 1.1056,                0.55073,                 1.1242,              0.0040105,              0.0040105,              0.0040105
                    124,                 1.0661,                  0.572,                 1.0927,                0.87392,                0.76406,                 0.8429,                0.55276,                 1.1057,                0.55042,                 1.1242,               0.003961,               0.003961,               0.003961
                    125,                 1.0647,                0.57222,                 1.0954,                0.87447,                0.76385,                0.84306,                0.55304,                 1.1053,                0.55022,                 1.1241,              0.0039115,              0.0039115,              0.0039115
                    126,                 1.0629,                0.56943,                 1.0941,                0.87463,                 0.7643,                0.84318,                0.55324,                 1.1049,                0.54979,                 1.1239,               0.003862,               0.003862,               0.003862
                    127,                 1.0641,                0.57008,                 1.0907,                0.87439,                0.76416,                0.84327,                0.55347,                 1.1047,                0.54931,                 1.1238,              0.0038125,              0.0038125,              0.0038125
                    128,                 1.0623,                0.57035,                 1.0922,                0.87373,                0.76488,                0.84343,                0.55353,                 1.1046,                0.54896,                 1.1238,               0.003763,               0.003763,               0.003763
                    129,                   1.06,                0.56752,                   1.09,                0.87361,                0.76557,                0.84354,                0.55371,                 1.1044,                0.54868,                 1.1238,              0.0037135,              0.0037135,              0.0037135
                    130,                 1.0582,                0.56577,                  1.089,                0.87407,                0.76537,                0.84357,                0.55394,                 1.1042,                0.54827,                 1.1236,               0.003664,               0.003664,               0.003664
                    131,                 1.0566,                0.56757,                 1.0917,                0.87425,                0.76567,                0.84378,                0.55401,                 1.1043,                0.54794,                 1.1236,              0.0036145,              0.0036145,              0.0036145
                    132,                 1.0557,                0.56599,                 1.0893,                0.87432,                 0.7656,                 0.8437,                0.55403,                 1.1044,                0.54775,                 1.1236,               0.003565,               0.003565,               0.003565
                    133,                 1.0549,                0.56514,                 1.0851,                0.87446,                0.76542,                0.84384,                0.55413,                 1.1043,                 0.5474,                 1.1234,              0.0035155,              0.0035155,              0.0035155
                    134,                 1.0545,                0.56504,                 1.0866,                 0.8749,                0.76526,                0.84389,                0.55434,                 1.1041,                0.54697,                 1.1233,               0.003466,               0.003466,               0.003466
                    135,                 1.0522,                0.56288,                 1.0863,                0.87529,                0.76478,                0.84403,                0.55449,                 1.1041,                0.54657,                 1.1233,              0.0034165,              0.0034165,              0.0034165
                    136,                 1.0503,                 0.5603,                 1.0839,                0.87502,                 0.7653,                0.84415,                0.55453,                 1.1042,                0.54618,                 1.1232,               0.003367,               0.003367,               0.003367
                    137,                 1.0491,                 0.5599,                 1.0832,                0.87479,                0.76555,                0.84427,                0.55476,                  1.104,                0.54585,                 1.1231,              0.0033175,              0.0033175,              0.0033175
                    138,                 1.0518,                0.56093,                 1.0838,                0.87457,                0.76554,                0.84413,                0.55472,                 1.1039,                0.54553,                 1.1231,               0.003268,               0.003268,               0.003268
                    139,                 1.0471,                0.55858,                 1.0847,                0.87492,                0.76537,                0.84406,                0.55482,                 1.1039,                0.54505,                 1.1231,              0.0032185,              0.0032185,              0.0032185
                    140,                 1.0492,                0.55919,                 1.0833,                0.87541,                0.76514,                0.84414,                0.55485,                 1.1039,                 0.5447,                  1.123,               0.003169,               0.003169,               0.003169
                    141,                 1.0431,                0.55592,                 1.0829,                0.87565,                0.76474,                0.84426,                0.55507,                 1.1039,                0.54439,                  1.123,              0.0031195,              0.0031195,              0.0031195
                    142,                 1.0439,                0.55517,                 1.0809,                0.87571,                0.76513,                0.84443,                 0.5553,                 1.1038,                0.54415,                 1.1229,                0.00307,                0.00307,                0.00307
                    143,                 1.0409,                0.55572,                 1.0801,                0.87644,                0.76474,                0.84458,                0.55537,                 1.1036,                0.54375,                 1.1228,              0.0030205,              0.0030205,              0.0030205
                    144,                 1.0418,                0.55651,                   1.08,                0.87639,                0.76484,                0.84454,                0.55546,                 1.1036,                0.54339,                 1.1228,               0.002971,               0.002971,               0.002971
                    145,                 1.0419,                 0.5541,                 1.0797,                0.87678,                0.76456,                0.84474,                 0.5555,                 1.1037,                0.54319,                 1.1228,              0.0029215,              0.0029215,              0.0029215
                    146,                 1.0414,                0.55407,                 1.0789,                0.87692,                0.76474,                0.84495,                0.55572,                 1.1034,                0.54294,                 1.1228,               0.002872,               0.002872,               0.002872
                    147,                 1.0377,                0.55273,                 1.0798,                 0.8774,                0.76454,                0.84495,                0.55587,                 1.1032,                0.54255,                 1.1227,              0.0028225,              0.0028225,              0.0028225
                    148,                 1.0373,                0.55145,                 1.0752,                0.87694,                0.76501,                0.84505,                 0.5562,                 1.1033,                0.54227,                 1.1226,               0.002773,               0.002773,               0.002773
                    149,                 1.0356,                0.55064,                  1.077,                0.87775,                0.76427,                0.84509,                0.55623,                 1.1032,                0.54206,                 1.1226,              0.0027235,              0.0027235,              0.0027235
                    150,                  1.032,                0.54929,                 1.0766,                0.87725,                0.76475,                  0.845,                0.55644,                 1.1031,                0.54176,                 1.1226,               0.002674,               0.002674,               0.002674
                    151,                 1.0321,                0.54758,                 1.0757,                0.87762,                0.76454,                0.84517,                0.55663,                 1.1031,                 0.5414,                 1.1225,              0.0026245,              0.0026245,              0.0026245
                    152,                 1.0314,                0.54817,                 1.0772,                0.87825,                0.76443,                0.84557,                0.55689,                 1.1029,                0.54105,                 1.1225,               0.002575,               0.002575,               0.002575
                    153,                 1.0296,                0.54576,                 1.0739,                0.87862,                0.76463,                0.84561,                0.55706,                 1.1028,                0.54079,                 1.1224,              0.0025255,              0.0025255,              0.0025255
                    154,                 1.0268,                0.54485,                 1.0734,                0.87882,                0.76451,                0.84568,                0.55718,                 1.1028,                0.54042,                 1.1224,               0.002476,               0.002476,               0.002476
                    155,                 1.0258,                0.54426,                 1.0726,                0.87854,                0.76456,                0.84575,                0.55707,                 1.1031,                0.54033,                 1.1225,              0.0024265,              0.0024265,              0.0024265
                    156,                 1.0276,                0.54509,                 1.0709,                0.87859,                0.76436,                0.84564,                0.55727,                 1.1031,                0.53998,                 1.1225,               0.002377,               0.002377,               0.002377
